amount,category,merchant,timestamp
520,Food Delivery,Swiggy,2026-05-01T22:20:00+05:30
990,Shopping,Myntra,2026-05-02T20:45:00+05:30
350,Coffee,Starbucks,2026-05-03T17:30:00+05:30
680,Food Delivery,Zomato,2026-05-04T23:10:00+05:30
720,Groceries,Blinkit,2026-05-05T19:25:00+05:30
260,Transport,Uber,2026-05-06T09:20:00+05:30
1490,Shopping,Amazon,2026-05-07T22:00:00+05:30
540,Food Delivery,Swiggy,2026-05-09T22:40:00+05:30
830,Groceries,Blinkit,2026-05-11T20:35:00+05:30
420,Coffee,Starbucks,2026-05-13T18:10:00+05:30
760,Food Delivery,Zomato,2026-05-15T23:30:00+05:30
1180,Shopping,Myntra,2026-05-17T17:45:00+05:30
610,Food Delivery,Swiggy,2026-05-19T22:55:00+05:30
930,Shopping,Amazon,2026-05-22T21:20:00+05:30
