amount,category,merchant,timestamp
640,Food Delivery,Swiggy,2026-05-01T22:45:00+05:30
780,Food Delivery,Zomato,2026-05-02T23:35:00+05:30
520,Food Delivery,Swiggy,2026-05-03T00:20:00+05:30
890,Groceries,Blinkit,2026-05-04T19:15:00+05:30
610,Food Delivery,Zomato,2026-05-05T22:50:00+05:30
450,Transport,Uber,2026-05-06T09:40:00+05:30
720,Food Delivery,Swiggy,2026-05-07T23:10:00+05:30
380,Coffee,Starbucks,2026-05-08T18:20:00+05:30
690,Food Delivery,Zomato,2026-05-10T23:55:00+05:30
1120,Shopping,Amazon,2026-05-12T21:10:00+05:30
810,Food Delivery,Swiggy,2026-05-14T22:35:00+05:30
940,Groceries,Blinkit,2026-05-16T20:05:00+05:30
580,Food Delivery,Zomato,2026-05-18T23:30:00+05:30
660,Food Delivery,Swiggy,2026-05-21T22:25:00+05:30
