amount,category,merchant,timestamp
2490,Shopping,Myntra,2026-05-01T21:30:00+05:30
3150,Electronics,Amazon,2026-05-02T22:15:00+05:30
860,Food Delivery,Swiggy,2026-05-02T23:20:00+05:30
1799,Shopping,Amazon,2026-05-03T18:40:00+05:30
740,Food Delivery,Zomato,2026-05-03T23:05:00+05:30
1190,Groceries,Blinkit,2026-05-04T20:00:00+05:30
520,Transport,Uber,2026-05-05T09:20:00+05:30
2790,Shopping,Myntra,2026-05-06T22:05:00+05:30
680,Food Delivery,Swiggy,2026-05-08T22:45:00+05:30
950,Groceries,Blinkit,2026-05-11T19:30:00+05:30
410,Coffee,Starbucks,2026-05-13T18:00:00+05:30
1250,Shopping,Amazon,2026-05-16T17:10:00+05:30
720,Food Delivery,Zomato,2026-05-19T23:25:00+05:30
580,Transport,Uber,2026-05-22T10:10:00+05:30
