amount,category,merchant,timestamp
420,Food Delivery,Swiggy,2026-05-01T20:10:00+05:30
280,Transport,Uber,2026-05-02T09:15:00+05:30
850,Groceries,Blinkit,2026-05-03T18:35:00+05:30
320,Coffee,Starbucks,2026-05-04T17:20:00+05:30
760,Groceries,Blinkit,2026-05-06T19:00:00+05:30
450,Food Delivery,Zomato,2026-05-08T21:05:00+05:30
310,Transport,Uber,2026-05-10T10:30:00+05:30
1200,Shopping,Amazon,2026-05-12T16:00:00+05:30
690,Groceries,Blinkit,2026-05-14T20:20:00+05:30
380,Food Delivery,Swiggy,2026-05-16T20:40:00+05:30
290,Transport,Uber,2026-05-18T09:50:00+05:30
540,Food Delivery,Zomato,2026-05-21T21:25:00+05:30
980,Groceries,Blinkit,2026-05-23T18:10:00+05:30
360,Coffee,Starbucks,2026-05-24T17:45:00+05:30
